date,import
200901,"23,470"
200902,-
200903,-
200904,-
200905,"22,200"
200906,"22,200"
200907,-
200908,"22,200"
200909,"66,600"
200910,"23,004"
200911,"138,400"
200912,"214,209"
201001,"32,504"
201002,"72,400"
201003,"26,200"
201004,"46,200"
201005,"44,400"
201006,"44,400"
201007,"111,001"
201008,"45,701"
201009,"133,200"
201010,"45,700"
201011,"248,925"
201012,"178,391"
201101,"134,503"
201102,"68,402"
201103,"136,303"
201104,"88,801"
201105,"66,400"
201106,"88,800"
201107,"88,800"
201108,"88,800"
201109,"67,900"
201110,"44,400"
201111,"128,070"
201112,"192,163"
201201,"55,400"
201202,"66,603"
201203,"92,405"
201204,"112,315"
201205,"66,400"
201206,"44,650"
201207,"44,410"
201208,"98,616"
201209,"99,070"
201210,"121,070"
201211,"246,860"
201212,"88,800"
201301,"22,210"
201302,"112,954"
201303,"118,832"
201304,"52,664"
201305,"275,903"
201306,"98,090"
201307,"46,284"
201308,"69,287"
201309,"34,092"
201310,"117,049"
201311,"173,842"
201312,"131,974"
201401,"227,468"
201402,"78,426"
201403,"180,280"
201404,"125,762"
201405,"77,586"
201406,"114,628"
201407,"108,771"
201408,"99,091"
201409,"179,216"
201410,"91,170"
201411,"279,759"
201412,"219,513"
201501,"63,152"
201502,"139,649"
201503,"194,716"
201504,"228,523"
201505,"164,017"
201506,"183,720"
201507,"207,813"
201508,"170,712"
201509,"96,789"
201510,"128,764"
201511,"227,784"
201512,"205,257"
201601,"5,005.60"
201602,"44,700"
201603,"49,700"
201604,"46,304"
201605,"44,700"
201606,"10,000"
201607,-
201608,-
201609,"27,200.50"
201610,"22,510"
201611,"128,053"
201612,"114,013.50"
201701,"32,200"
201702,"32,430"
201703,"29,644"
201704,"37,460"
201705,"24,003"
201706,"24,004"
201707,"14,001"
201708,"24,008.20"
201709,"48,000"
201710,"10,000"
201711,"23,532.33"
201712,"13,633"
201801,8
201802,"58,310"
201803,"15,095.60"
201804,1
201805,"58,017"
201806,"72,006.80"
201807,"34,125.74"
201808,"11,821"
201809,"75,146"
201810,"10,000.80"
201811,"138,091.77"
201812,"24,001.03"
